Date,Close_AAPL,Close_GOOGL,Close_MSFT,High_AAPL,High_GOOGL,High_MSFT,Low_AAPL,Low_GOOGL,Low_MSFT,Open_AAPL,Open_GOOGL,Open_MSFT,Volume_AAPL,Volume_GOOGL,Volume_MSFT
2023-11-24,188.1927032470703,135.75369262695312,371.88525390625,189.11399521175224,137.1838312275909,372.41732930761407,187.47943812523724,135.05849057227317,369.6289174288519,189.08427709134526,137.08451015366452,371.786716969812,24048300,12514300,10176600
2023-11-27,188.014404296875,135.47560119628906,373.04791259765625,188.886176253634,137.47182733003615,375.0481191981454,187.13273133734725,135.06840604105298,370.67334381773094,188.14319291304204,135.0981993300442,371.24480993983406,40552600,23436500,22179200
2023-11-28,188.61868286132812,136.2601776123047,377.0778503417969,189.29232889633607,136.30983814339234,377.3734310799554,187.62803848681267,134.4923718163018,372.60453806574077,188.0044881862593,135.14785445641968,372.79174922299154,38415400,18730000,20453100
2023-11-29,187.5983428955078,134.0653533935547,373.28436279296875,190.29289712708973,137.34273698978822,378.65427940747446,187.202091144525,133.91637176828155,371.89507333786327,189.1140277612682,136.62768277470195,378.12223413728344,43014200,23967200,28963400
2023-11-30,188.1728973388672,131.62217712402344,373.343505859375,188.53944603911236,134.62149456857514,374.5061634778247,186.42936866830843,130.38073954068037,369.9540398668522,188.06392585220516,134.12491953523792,372.9296627723548,48794400,38988300,30554400
2023-12-01,189.45082092285156,130.95677185058594,369.0081787109375,189.7678192377602,131.20505937380074,372.60455147782466,187.45961621033018,129.77492081540063,365.8551770672475,188.54933098414946,130.95677185058594,371.2251245346799,45704800,31442300,33040500
2023-12-04,187.65774536132812,128.384521484375,363.717041015625,188.27195511561732,129.1393101272626,364.0914332416113,185.6962738498395,127.02390307918412,357.568691355028,188.20260275786183,128.9903436695441,363.6776202294819,43389500,36669900,32063300
2023-12-05,191.61044311523438,130.09275817871094,367.04736328125,192.58127042048946,131.23487491745817,367.59913401406357,188.40074973234698,127.37152100730603,360.2487359832438,188.43048297188668,128.06672315933784,361.0665594377977,66628400,27384800,23065000
2023-12-06,190.520751953125,129.12937927246094,363.38201904296875,192.93791176533594,130.93690456062552,368.6829873224875,190.3127099631217,128.99033886567904,362.6233417878435,192.6308143978356,130.53965058532518,368.05240507377636,41089700,23576200,21182100
2023-12-07,192.45249938964844,135.99205017089844,365.50048828125,193.17566559760107,137.61088985291832,365.9931429196831,191.7788533108163,133.77732945899103,360.93850151827866,191.81848755335412,134.11499689135425,362.8204458454036,47477700,56767100,23118900
2023-12-08,193.8790283203125,134.0653533935547,368.73223876953125,194.15640755182167,135.46568368379624,368.95884062033406,191.8581052152776,133.11192251632352,362.820384114192,192.38314555463674,133.280756234884,363.7761351529084,53406400,32260100,20154400
2023-12-11,191.3726806640625,132.37696838378906,365.8453063964844,191.6797931299085,132.42662891897587,366.140917208106,189.62915193698308,130.4601959905728,360.72171642347627,191.30334341541183,131.47321332216674,363.0667572104508,60943700,31138000,27708800
2023-12-12,192.8883819580078,131.61227416992188,368.8800354003906,192.8982829604503,132.0889820423679,368.9194561848198,189.92634969600132,130.36089516762976,365.01761039602826,191.27362671385956,130.90713083098981,365.40189538840474,52696900,29032800,24838300
2023-12-13,196.10797119140625,131.66192626953125,368.8702087402344,196.1475903161728,132.5855486603067,372.0921891414662,193.02706651664724,130.66877609230048,365.32308952611504,193.26481149731427,132.4663754884051,370.4959629431741,70404200,30104800,30955500
