star_name,name,temperature,mass,radius,luminosity,stellar_age,rotation_period,metallicity,ra,dec,color_index
Star_1,Star_1,6545.071229516849,1.5889743953959574,1.7502211907006986,1.5952279568819736,5.351673709720597,2.231728943204669,0.23046216498952118,51.64900452648722,-60.42836821096633,1.3547227360102272
Star_2,Star_2,5592.603548243223,2.5979127138276654,1.4475224982332275,0.7184124515582504,0.9515269894091164,4.392861567684512,0.06461895163688638,54.520387896728636,50.96905756626549,0.4351869691172479
Star_3,Star_3,6771.5328071510385,0.49694109208140635,1.0241388856808906,0.6120634471354649,4.599784888206283,6.911934976812941,0.15248059190237687,155.79773436305481,-67.95038484612193,0.5250124083153612
Star_4,Star_4,8084.544784612038,1.3250956140015668,0.7719969258057223,0.9979773738241424,1.5318754744079615,2.3170245111882495,1.177871311930898,214.44473669815062,24.283198647569304,0.6310630960666256
Star_5,Star_5,5448.769937914996,0.7222952540455142,1.3221898316971472,0.9029295254515585,10.526234209118966,3.534289006795025,-0.6252338818495765,29.02154586105663,-67.70771519295286,0.768739654612924
Star_6,Star_6,5448.794564576229,0.7838303346927841,1.170456863445237,0.7619023892511432,12.325175534941673,3.309622393391119,0.5174089949283325,338.24469204905967,-77.30358523326782,0.7290652435864354
Star_7,Star_7,8168.819223261087,0.743640944498274,1.4305761825951497,1.5186662286182693,1.032882530827408,8.721697300380582,-0.08623425582010667,271.84810228027055,73.69731066345777,1.0352287381844352
Star_8,Star_8,6951.1520937293635,0.649212372897268,1.289260400065679,1.7739046345496123,12.420986174062948,7.810550669534004,0.08619867132090278,211.18461058211855,-55.77682206263298,-0.07791762116056256
Star_9,Star_9,5095.788421097572,1.0245575019584898,1.5216892799409523,1.0544761799981477,6.841238131444013,4.147932251115451,-0.01365367359037265,298.2379215380367,57.825027820746776,-0.06607896105870176
Star_10,Star_10,6613.840065378947,0.6600266551372973,0.8072724295264344,2.426665392891885,3.964397245604973,8.511827762377912,-0.12727090001941305,28.867232452360785,8.033556799284447,0.5012365483969552
Star_11,Star_11,5104.873460781307,1.1447982411647637,1.6937713762894473,0.5040834402913191,1.0915207710625092,4.7714771515123156,-0.17094987847162754,171.66199598392478,-75.98582647042147,0.9791900562631126
Star_12,Star_12,5101.405369644614,0.9751938036871477,1.0822474399807036,0.8903009960990734,6.55805305810839,5.945745440321942,0.0988526206719027,226.83352567019884,81.98067445885215,0.18030559051832115
Star_13,Star_13,6162.943407349051,0.8873870587888625,2.2935580583824122,0.6504483449794893,10.349250523930658,28.18420380487467,-0.4551521090015037,298.31504620258414,-45.546989941459344,-0.2522897019081271
Star_14,Star_14,2930.079633013303,0.6352213037128877,0.7590594884633205,0.3263052551491816,9.221415556740407,21.592992514562933,0.22517375025652966,282.04904161773635,64.73616216346917,0.8213538218657627
